Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
1075 Tillicum Road,V9A 2A4,Esquimalt,"April 25, 2022",,No,99,,,Yes,Yes,"Desjardins,Armour,Helliwell,Brame,Morrison","Vermeulen,Hundleby",
1022 Summit Ave,V8T 2P3,Victoria,"April 14, 2022",,Yes,3,0,2,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Isitt,Dubow,Andrew",,"House conversion. Owner will occupy one unit, others will be rented. Young absent."
"110 Menzies St, 111 Croft St, 450-458 Niagara St",V8V 1L8,Victoria,"March 24, 2022",,Yes,137,0,45,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,$75k contribution to affordable housing reserve fund
1344 Thurlow Rd,V8S 1L6,Victoria,"March 10, 2022",,No,3,0,1,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,Secondary suite included
880 Fleming St.,V9A 5V4,Esquimalt,"March 7, 2022",,Yes,45,28,,,Yes,"Desjardins,Armour,Helliwell,Brame,Vermeulen","Morrison,Hundleby","42 rental units, 3 strata"
820 Dunsmir Rd.,V9A 5By,Esquimalt,"March 7, 2022",,No,7,,,,Yes,"Brame,Morrison,Vermeulen,Hundleby,Armour,Helliwell,Desjardins",,
496 and 498 cecelia rd & 3130 Jutland rd,V8T 4T5,Victoria,"February 24, 2022",,Yes,88,88,0,No,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,
1475 Fort St,V8S 1Z4,Victoria,"February 24, 2022",,Yes,32,4,0,Yes,Yes,"Alto,Loveday,Helps,Potts,Isitt,Dubow,Andrew","Young,Thornton-Joe",
1124 Vancouver St and 941/953 View St,V8V 3W2,Victoria,"February 10, 2022",,Yes,162,,0,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,
137/139 Robertson St and 1848/1850 Hollywood Cr,V8S 3X2,Victoria,"February 10, 2022",,Yes,4,,4,Yes,Yes,"Alto,Loveday,Helps,Potts,Isitt,Dubow,Andrew","Thornton-Joe,Young",
"167, 169, 171 Island Hwy.",V9B 1G2,View Royal,"February 1, 2022",,Yes,84,,3,Yes,Yes,"Kowalewich,Screech,Rogers,Lemon",Mattson,
931 McClure St,V8V 3E8,Victoria,"January 27, 2022",,No,7,0,1,Yes,Yes,"Alto,Loveday,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,Helps away
5176 Rambler Road,V8Y 2H3,Saanich,"January 24, 2022",,No,1,0,0,Yes,Yes,"Plant,Chambers,Haynes,Mersereau,de Vries,Brownoff,Harper,Brice,Taylor",,Hearing waived; Lot split
975 and 983 Pandora Ave,V8V 3P4,Victoria,"January 13, 2022",,Yes,121,0,,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,co-living units make up a portion of the units
580 and 582 Niagara St,V8V 1H7,Victoria,"January 13, 2022",,Yes,2,,0,Yes,Yes,"Alto,Loveday,Helps,Thornton-Joe,Potts,Young,Isitt,Dubow,Andrew",,"application to bring non-compliant 4-plex into compliance. Agreement to make the two, currently illegal units, rental for 10 years."
3956 Shelbourne St,V8N 3E1,Saanich,"November 16, 2021",,Yes,597,60,0,,Yes,"Plant,Harper,Taylor,Mersereau,Brownoff,Chambers,Haynes,de Vries,Brice",,
"877 and 879 Dunsmuir Road and 538, 534, and 530 West Bay Terrace",V9A 5C2,Esquimalt,"November 15, 2021",,Yes,105,0,20,Yes,Yes,"Helliwell,Morrison,Brame,Armour,Desjardins","Hundleby,Vermeulen",
